BARRIO,Hora_0,Hora_1,Hora_2,Hora_3,Hora_4,Hora_5,Hora_6,Hora_7,Hora_8,Hora_9,Hora_10,Hora_11,Hora_12,Hora_13,Hora_14,Hora_15,Hora_16,Hora_17,Hora_18,Hora_19,Hora_20,Hora_21,Hora_22,Hora_23
AguasFrias,1.0,1.0,2.0,1.0,2.0,2.0,6.0,0.0,5.0,3.0,6.0,7.0,1.0,3.0,3.0,4.0,0.0,5.0,1.0,3.0,8.0,6.0,4.0,4.0
AldeaPabloVI,3.0,3.0,0.0,1.0,2.0,3.0,4.0,1.0,3.0,1.0,1.0,5.0,5.0,4.0,3.0,4.0,2.0,3.0,5.0,1.0,5.0,2.0,2.0,0.0
Alejandria,3.0,11.0,3.0,4.0,8.0,4.0,23.0,17.0,24.0,26.0,23.0,28.0,18.0,18.0,28.0,26.0,21.0,16.0,12.0,17.0,14.0,9.0,13.0,4.0
AlejandroEchavarria,14.0,13.0,21.0,9.0,19.0,18.0,40.0,49.0,36.0,26.0,29.0,31.0,47.0,19.0,23.0,35.0,28.0,39.0,40.0,40.0,35.0,24.0,21.0,15.0
AlfonsoLopez,13.0,13.0,6.0,18.0,16.0,34.0,76.0,66.0,54.0,48.0,33.0,46.0,53.0,47.0,48.0,53.0,45.0,58.0,50.0,53.0,45.0,40.0,26.0,21.0
Altamira,4.0,11.0,7.0,11.0,7.0,29.0,59.0,57.0,40.0,32.0,33.0,24.0,39.0,32.0,39.0,28.0,31.0,28.0,35.0,31.0,38.0,20.0,15.0,7.0
Altavista,5.0,6.0,4.0,1.0,2.0,10.0,17.0,20.0,18.0,10.0,19.0,14.0,21.0,12.0,20.0,11.0,9.0,23.0,15.0,15.0,21.0,10.0,10.0,7.0
AltavistaSectorCentral,0.0,2.0,2.0,2.0,2.0,5.0,9.0,7.0,4.0,9.0,6.0,7.0,8.0,4.0,4.0,0.0,6.0,4.0,2.0,7.0,9.0,9.0,2.0,3.0
AltosdelPoblado,2.0,3.0,1.0,4.0,5.0,6.0,9.0,23.0,16.0,6.0,6.0,17.0,21.0,7.0,15.0,10.0,10.0,21.0,12.0,11.0,10.0,3.0,4.0,2.0
Andalucia,0.0,5.0,3.0,5.0,2.0,6.0,10.0,12.0,9.0,7.0,11.0,5.0,13.0,5.0,16.0,7.0,15.0,15.0,11.0,10.0,8.0,8.0,8.0,6.0
AntonioNariño,3.0,2.0,4.0,2.0,5.0,8.0,16.0,11.0,8.0,10.0,18.0,11.0,13.0,11.0,8.0,8.0,12.0,16.0,14.0,9.0,9.0,6.0,4.0,3.0
Aranjuez,8.0,1.0,5.0,7.0,3.0,5.0,17.0,20.0,15.0,14.0,17.0,15.0,20.0,19.0,15.0,15.0,13.0,15.0,21.0,18.0,10.0,17.0,18.0,6.0
AreaDeExpansionAltavista,1.0,1.0,1.0,2.0,0.0,3.0,1.0,2.0,1.0,2.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,3.0,3.0,2.0,3.0
AreaDeExpansionBelenRincon,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
AsomaderaNo1,2.0,8.0,2.0,3.0,3.0,7.0,18.0,32.0,20.0,17.0,8.0,16.0,17.0,16.0,13.0,11.0,9.0,22.0,21.0,10.0,15.0,8.0,8.0,3.0
AsomaderaNo2,6.0,6.0,2.0,10.0,10.0,2.0,16.0,25.0,25.0,17.0,18.0,18.0,27.0,20.0,24.0,27.0,19.0,19.0,19.0,18.0,12.0,10.0,22.0,13.0
AsomaderaNo3,2.0,2.0,4.0,1.0,3.0,4.0,9.0,10.0,5.0,6.0,6.0,5.0,8.0,7.0,2.0,4.0,10.0,5.0,2.0,4.0,5.0,4.0,2.0,2.0
Astorga,4.0,2.0,4.0,4.0,4.0,5.0,4.0,11.0,13.0,15.0,22.0,16.0,20.0,21.0,14.0,17.0,14.0,25.0,9.0,7.0,2.0,4.0,5.0,3.0
AuresNo1,9.0,7.0,9.0,8.0,5.0,17.0,20.0,24.0,20.0,17.0,13.0,23.0,21.0,19.0,18.0,18.0,24.0,21.0,18.0,19.0,25.0,12.0,9.0,9.0
AuresNo2,3.0,6.0,4.0,6.0,8.0,19.0,25.0,29.0,20.0,35.0,21.0,32.0,27.0,28.0,22.0,16.0,25.0,29.0,16.0,15.0,25.0,21.0,10.0,11.0
BCerroElVolador,0.0,3.0,3.0,2.0,2.0,8.0,7.0,5.0,11.0,6.0,6.0,3.0,4.0,9.0,11.0,8.0,9.0,9.0,8.0,8.0,3.0,3.0,1.0,1.0
BarrioCaicedo,8.0,16.0,17.0,10.0,6.0,24.0,57.0,49.0,46.0,42.0,43.0,33.0,53.0,35.0,35.0,35.0,42.0,37.0,42.0,31.0,27.0,27.0,24.0,14.0
BarrioColombia,5.0,14.0,14.0,13.0,12.0,24.0,45.0,64.0,49.0,57.0,66.0,72.0,69.0,49.0,58.0,67.0,66.0,78.0,49.0,31.0,24.0,20.0,8.0,7.0
BarrioColon,18.0,49.0,47.0,29.0,57.0,105.0,155.0,175.0,169.0,182.0,197.0,162.0,182.0,140.0,142.0,177.0,176.0,191.0,197.0,135.0,77.0,51.0,49.0,21.0
BarrioCristobal,0.0,3.0,1.0,1.0,3.0,7.0,6.0,4.0,11.0,6.0,8.0,9.0,9.0,8.0,5.0,5.0,5.0,7.0,9.0,6.0,4.0,4.0,3.0,2.0
BarriodeJesus,2.0,2.0,5.0,5.0,0.0,7.0,15.0,13.0,12.0,9.0,11.0,8.0,16.0,6.0,6.0,12.0,11.0,11.0,8.0,15.0,7.0,7.0,14.0,1.0
BarriosdeJesus,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BatallonGirardot,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Belalcazar,2.0,7.0,3.0,4.0,11.0,24.0,48.0,41.0,24.0,27.0,13.0,20.0,22.0,20.0,20.0,23.0,21.0,29.0,18.0,24.0,19.0,14.0,5.0,1.0
Belen,19.0,40.0,29.0,23.0,37.0,53.0,91.0,103.0,104.0,97.0,134.0,121.0,139.0,101.0,116.0,112.0,123.0,135.0,119.0,95.0,80.0,63.0,38.0,21.0
Belencito,0.0,0.0,3.0,4.0,3.0,2.0,7.0,8.0,4.0,3.0,7.0,8.0,7.0,10.0,5.0,5.0,10.0,8.0,9.0,7.0,9.0,6.0,2.0,0.0
BelloHorizonte,2.0,6.0,3.0,7.0,2.0,11.0,17.0,22.0,8.0,11.0,9.0,15.0,24.0,13.0,11.0,11.0,16.0,17.0,14.0,14.0,10.0,14.0,8.0,10.0
Berlin,11.0,19.0,19.0,15.0,12.0,24.0,31.0,34.0,31.0,31.0,26.0,28.0,41.0,32.0,25.0,26.0,33.0,32.0,41.0,50.0,35.0,30.0,17.0,19.0
Bermejal-LosAlamos,2.0,2.0,3.0,9.0,4.0,6.0,14.0,9.0,8.0,10.0,10.0,8.0,14.0,14.0,5.0,5.0,11.0,9.0,20.0,9.0,12.0,5.0,8.0,3.0
Betania,2.0,2.0,1.0,0.0,2.0,1.0,3.0,5.0,7.0,6.0,5.0,5.0,2.0,5.0,3.0,8.0,5.0,3.0,6.0,5.0,8.0,6.0,0.0,1.0
Blanquizal,1.0,1.0,0.0,1.0,0.0,4.0,7.0,1.0,5.0,4.0,4.0,3.0,5.0,4.0,6.0,6.0,1.0,1.0,4.0,6.0,0.0,4.0,1.0,0.0
Bolivariana,1.0,7.0,16.0,12.0,12.0,15.0,32.0,41.0,46.0,45.0,49.0,35.0,60.0,48.0,42.0,53.0,55.0,54.0,44.0,29.0,19.0,16.0,18.0,7.0
BombonaNo1,7.0,10.0,22.0,8.0,16.0,39.0,64.0,84.0,77.0,56.0,47.0,48.0,51.0,60.0,54.0,47.0,53.0,70.0,66.0,57.0,39.0,26.0,16.0,12.0
BombonaNo2,1.0,6.0,2.0,4.0,4.0,12.0,11.0,16.0,18.0,12.0,11.0,13.0,13.0,12.0,13.0,14.0,14.0,22.0,15.0,8.0,19.0,16.0,7.0,6.0
BosquesdeSanPablo,0.0,4.0,2.0,3.0,6.0,13.0,19.0,20.0,21.0,18.0,28.0,17.0,19.0,17.0,7.0,15.0,16.0,18.0,21.0,13.0,15.0,7.0,6.0,2.0
Boston,18.0,24.0,27.0,25.0,29.0,44.0,117.0,157.0,131.0,113.0,109.0,99.0,124.0,110.0,110.0,84.0,95.0,118.0,92.0,77.0,46.0,52.0,46.0,21.0
Boyaca,5.0,11.0,9.0,8.0,13.0,17.0,31.0,44.0,18.0,19.0,14.0,17.0,19.0,21.0,19.0,20.0,22.0,25.0,13.0,36.0,22.0,18.0,10.0,6.0
Brasilia,5.0,5.0,6.0,3.0,10.0,18.0,17.0,23.0,22.0,16.0,17.0,13.0,32.0,16.0,18.0,17.0,16.0,20.0,34.0,24.0,22.0,23.0,15.0,8.0
BuenosAires,7.0,13.0,16.0,18.0,13.0,24.0,55.0,50.0,51.0,38.0,47.0,47.0,46.0,48.0,40.0,30.0,37.0,37.0,56.0,52.0,39.0,29.0,29.0,8.0
BugaPatioBonito,0.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,4.0,6.0,4.0,3.0,1.0,2.0,0.0,0.0
CabeceraSanAntoniodePrado,15.0,14.0,22.0,15.0,16.0,48.0,67.0,66.0,50.0,45.0,63.0,52.0,76.0,55.0,63.0,66.0,80.0,88.0,65.0,53.0,41.0,43.0,32.0,17.0
CabeceraUrbanaSanCristobal,6.0,8.0,11.0,8.0,10.0,13.0,30.0,38.0,22.0,26.0,22.0,26.0,32.0,25.0,29.0,23.0,24.0,33.0,27.0,23.0,23.0,12.0,8.0,3.0
Calasanz,7.0,8.0,10.0,8.0,6.0,15.0,43.0,64.0,33.0,28.0,30.0,32.0,30.0,43.0,45.0,40.0,40.0,48.0,30.0,33.0,32.0,15.0,11.0,7.0
CalasanzParteAlta,7.0,6.0,4.0,4.0,2.0,13.0,40.0,19.0,23.0,16.0,12.0,15.0,19.0,20.0,17.0,14.0,22.0,19.0,18.0,15.0,18.0,17.0,7.0,7.0
CalleNueva,6.0,15.0,17.0,16.0,27.0,34.0,66.0,77.0,78.0,88.0,84.0,96.0,90.0,72.0,79.0,75.0,89.0,97.0,64.0,47.0,28.0,29.0,14.0,8.0
CampoAlegre,7.0,7.0,4.0,3.0,4.0,18.0,29.0,36.0,23.0,16.0,21.0,26.0,24.0,23.0,21.0,20.0,19.0,25.0,34.0,17.0,23.0,19.0,12.0,3.0
CampoAmor,21.0,39.0,45.0,36.0,51.0,127.0,230.0,242.0,167.0,147.0,151.0,191.0,205.0,180.0,174.0,183.0,206.0,249.0,172.0,100.0,82.0,70.0,51.0,30.0
CampoValdesNo1,16.0,33.0,26.0,19.0,22.0,42.0,67.0,63.0,56.0,42.0,40.0,42.0,50.0,46.0,28.0,48.0,41.0,48.0,61.0,48.0,46.0,43.0,29.0,20.0
CampoValdesNo2,18.0,24.0,24.0,19.0,32.0,31.0,28.0,34.0,24.0,23.0,27.0,39.0,38.0,39.0,19.0,24.0,46.0,37.0,50.0,48.0,59.0,40.0,32.0,21.0
Caribe,25.0,61.0,75.0,66.0,65.0,140.0,284.0,303.0,202.0,197.0,199.0,184.0,195.0,197.0,194.0,205.0,201.0,198.0,161.0,149.0,126.0,86.0,83.0,24.0
CarlosERestrepo,15.0,34.0,32.0,34.0,42.0,77.0,155.0,201.0,156.0,111.0,138.0,147.0,171.0,136.0,123.0,115.0,158.0,156.0,120.0,108.0,87.0,58.0,39.0,28.0
Carpinelo,0.0,4.0,1.0,1.0,2.0,3.0,4.0,4.0,3.0,4.0,5.0,10.0,5.0,1.0,3.0,5.0,8.0,4.0,3.0,5.0,4.0,4.0,2.0,1.0
Castilla,16.0,37.0,33.0,32.0,32.0,72.0,155.0,151.0,106.0,100.0,82.0,85.0,127.0,110.0,115.0,94.0,87.0,95.0,123.0,117.0,119.0,94.0,60.0,33.0
Castropol,9.0,12.0,13.0,11.0,13.0,24.0,41.0,68.0,53.0,38.0,42.0,51.0,44.0,40.0,45.0,46.0,51.0,52.0,32.0,35.0,33.0,15.0,21.0,12.0
Cataluña,8.0,2.0,5.0,6.0,4.0,5.0,11.0,21.0,10.0,7.0,10.0,9.0,7.0,7.0,14.0,10.0,8.0,6.0,10.0,22.0,19.0,8.0,14.0,2.0
CementerioUniversal,1.0,4.0,1.0,4.0,2.0,8.0,10.0,9.0,9.0,8.0,12.0,6.0,3.0,16.0,8.0,9.0,8.0,5.0,5.0,10.0,4.0,7.0,0.0,2.0
CentroAdministrativo,0.0,6.0,6.0,5.0,7.0,12.0,13.0,12.0,20.0,15.0,11.0,19.0,19.0,12.0,13.0,16.0,13.0,17.0,10.0,10.0,2.0,4.0,5.0,0.0
CerroNutibara,3.0,6.0,12.0,7.0,7.0,22.0,33.0,35.0,32.0,24.0,29.0,32.0,49.0,32.0,24.0,35.0,40.0,53.0,26.0,22.0,17.0,10.0,15.0,5.0
CorazondeJesus,11.0,24.0,20.0,33.0,30.0,73.0,108.0,123.0,98.0,118.0,127.0,132.0,165.0,130.0,142.0,99.0,144.0,131.0,106.0,71.0,46.0,40.0,34.0,5.0
Cordoba,3.0,4.0,4.0,4.0,7.0,18.0,40.0,36.0,19.0,13.0,16.0,19.0,25.0,12.0,15.0,11.0,14.0,22.0,35.0,23.0,25.0,14.0,14.0,4.0
CorregimientodeSanAntoniodePrado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0
CorregimientodeSantaElena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CristoRey,10.0,27.0,14.0,18.0,18.0,62.0,102.0,102.0,83.0,72.0,75.0,99.0,123.0,98.0,104.0,100.0,91.0,110.0,103.0,78.0,51.0,40.0,26.0,23.0
CuartaBrigada,4.0,13.0,9.0,10.0,10.0,29.0,77.0,88.0,58.0,51.0,51.0,52.0,75.0,41.0,58.0,56.0,46.0,61.0,49.0,47.0,33.0,22.0,20.0,3.0
Cucaracho,7.0,13.0,21.0,12.0,20.0,36.0,71.0,52.0,38.0,37.0,31.0,49.0,36.0,47.0,38.0,32.0,48.0,43.0,48.0,33.0,48.0,36.0,21.0,17.0
DiegoEchavarria,4.0,5.0,2.0,2.0,3.0,11.0,25.0,26.0,29.0,16.0,15.0,19.0,23.0,16.0,24.0,19.0,13.0,14.0,15.0,20.0,12.0,18.0,8.0,3.0
DocedeOctubreNo1,6.0,13.0,9.0,7.0,4.0,15.0,20.0,24.0,10.0,19.0,19.0,26.0,21.0,19.0,23.0,15.0,28.0,18.0,23.0,26.0,17.0,20.0,19.0,9.0
DocedeOctubreNo2,8.0,10.0,10.0,11.0,11.0,17.0,29.0,31.0,23.0,20.0,26.0,25.0,42.0,24.0,20.0,24.0,25.0,28.0,25.0,26.0,22.0,25.0,21.0,5.0
EduardoSantos,0.0,0.0,0.0,0.0,1.0,5.0,7.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0
ElCastillo,1.0,1.0,1.0,4.0,3.0,2.0,19.0,12.0,11.0,14.0,12.0,8.0,9.0,15.0,13.0,15.0,18.0,22.0,17.0,7.0,13.0,7.0,2.0,1.0
ElChagualo,12.0,29.0,28.0,37.0,44.0,71.0,104.0,116.0,90.0,89.0,94.0,96.0,129.0,82.0,86.0,86.0,112.0,105.0,107.0,91.0,40.0,36.0,32.0,18.0
ElCompromiso,1.0,0.0,2.0,2.0,0.0,3.0,5.0,5.0,4.0,3.0,7.0,2.0,5.0,4.0,4.0,4.0,1.0,2.0,5.0,2.0,7.0,2.0,3.0,0.0
ElCorazon,1.0,3.0,2.0,4.0,1.0,7.0,9.0,7.0,5.0,4.0,5.0,5.0,6.0,3.0,3.0,2.0,4.0,4.0,4.0,5.0,4.0,3.0,1.0,0.0
ElCorazonElMorro,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0
ElDanubio,3.0,7.0,0.0,10.0,3.0,11.0,17.0,27.0,20.0,18.0,15.0,17.0,22.0,13.0,17.0,13.0,15.0,10.0,21.0,13.0,18.0,20.0,11.0,2.0
ElDiamante,6.0,19.0,12.0,14.0,18.0,47.0,50.0,56.0,47.0,39.0,38.0,32.0,48.0,44.0,41.0,36.0,34.0,38.0,44.0,38.0,46.0,34.0,23.0,21.0
ElDiamanteNo2,0.0,5.0,8.0,5.0,3.0,7.0,10.0,12.0,11.0,10.0,13.0,19.0,13.0,12.0,11.0,12.0,17.0,12.0,16.0,7.0,9.0,8.0,4.0,4.0
ElEstadio,17.0,27.0,21.0,13.0,24.0,33.0,75.0,77.0,65.0,55.0,61.0,63.0,66.0,65.0,72.0,57.0,70.0,69.0,61.0,61.0,47.0,34.0,35.0,15.0
ElNogal-LosAlmendros,1.0,6.0,6.0,2.0,4.0,7.0,7.0,23.0,16.0,23.0,21.0,27.0,21.0,22.0,21.0,28.0,30.0,22.0,18.0,11.0,10.0,11.0,13.0,5.0
ElPesebre,0.0,2.0,0.0,1.0,2.0,5.0,12.0,13.0,7.0,5.0,9.0,7.0,5.0,7.0,4.0,6.0,9.0,5.0,7.0,14.0,5.0,9.0,6.0,1.0
